TRACTCE10,BLOCKCE10,GEOID10,CTBLOCK,PLACE,CITY,TotalPop,Hispanic,White,Black,AmerIndian,Asian,Hawaii_Pac,Other,TwoPlus,TotUnits,OccUnits,VacUnits,ORIG_FID,POINT_X,POINT_Y
19303,1013,6.07E+13,193031013,53322,12,180,52,110,0,0,7,4,0,7,62,59,3,1459,-117.2710795,33.24298297
19903,2003,6.07E+13,199032003,99999,19,614,150,418,1,3,23,0,2,17,231,223,8,1460,-117.2002036,33.17727678
19903,2025,6.07E+13,199032025,99999,19,2,0,2,0,0,0,0,0,0,1,1,0,1461,-117.1804003,33.1830795
19903,1008,6.07E+13,199031008,99999,19,30,23,6,0,0,1,0,0,0,12,10,2,1462,-117.2106635,33.17563343
19302,4028,6.07E+13,193024028,53322,12,23,5,16,1,0,0,0,0,1,16,13,3,1463,-117.2745383,33.21379043
19302,4021,6.07E+13,193024021,53322,12,24,4,17,0,0,3,0,0,0,14,13,1,1464,-117.2746174,33.21489077
19302,4002,6.07E+13,193024002,53322,12,39,8,22,1,1,7,0,0,0,22,22,0,1465,-117.272902,33.22318304
8511,1163,6.07E+13,85111163,66000,14,2,0,1,1,0,0,0,0,0,1,1,0,1471,-117.1510644,32.83181448
8360,1002,6.07E+13,83601002,66000,14,182,21,114,5,1,25,0,0,16,106,100,6,1479,-117.1190124,32.89768721
17056,1012,6.07E+13,170561012,66000,14,90,11,51,0,0,26,0,0,2,29,29,0,1480,-117.0883479,32.97018839
17039,2000,6.07E+13,170392000,66000,14,351,22,137,1,0,180,0,0,11,112,110,2,1481,-117.098554,32.95379789
17029,2004,6.07E+13,170292004,23150,19,77,7,65,0,0,5,0,0,0,29,27,2,1482,-117.1885547,33.00820331
17052,1002,6.07E+13,170521002,66000,14,106,1,87,0,0,18,0,0,0,61,56,5,1484,-117.071377,32.99938279
17022,4007,6.07E+13,170224007,66000,14,126,28,73,15,0,5,1,0,4,50,47,3,1485,-117.101686,32.89973813
8351,3003,6.07E+13,83513003,66000,14,129,30,34,6,0,45,0,0,14,42,41,1,1486,-117.1493279,32.90368334
8351,2003,6.07E+13,83512003,66000,14,142,10,48,5,0,71,0,3,5,47,45,2,1487,-117.15341,32.9098157
8351,1003,6.07E+13,83511003,66000,14,109,20,25,2,0,56,0,0,6,30,28,2,1488,-117.149339,32.90936141
8351,1001,6.07E+13,83511001,66000,14,91,40,22,0,0,24,1,0,4,25,23,2,1489,-117.1500275,32.91070192
8350,3008,6.07E+13,83503008,66000,14,70,9,14,1,0,38,0,0,8,17,17,0,1490,-117.1579289,32.90858983
8350,4000,6.07E+13,83504000,66000,14,152,14,21,3,0,109,1,0,4,42,41,1,1491,-117.1631468,32.90818001
8350,1054,6.07E+13,83501054,66000,14,86,11,20,1,2,52,0,0,0,21,21,0,1492,-117.1608874,32.90022639
8350,1055,6.07E+13,83501055,66000,14,183,27,62,2,0,86,2,0,4,54,54,0,1493,-117.1551248,32.90023458
8350,1001,6.07E+13,83501001,66000,14,214,19,57,5,0,120,0,1,12,57,56,1,1494,-117.1557587,32.90162742
8349,2011,6.07E+13,83492011,66000,14,124,20,44,13,0,44,0,1,2,37,36,1,1495,-117.1546974,32.91276635
17014,2001,6.07E+13,170142001,66000,14,11,0,9,1,0,1,0,0,0,7,7,0,1496,-117.0579397,33.01243476
17054,1004,6.07E+13,170541004,58520,13,162,50,85,3,0,18,0,0,6,43,42,1,1497,-117.0564346,32.9884363
17006,1002,6.07E+13,170061002,58520,13,118,21,94,0,0,2,0,0,1,36,36,0,1498,-117.0520486,33.01642428
16617,2003,6.07E+13,166172003,70224,16,238,49,163,2,2,7,0,3,12,112,106,6,1499,-116.9826955,32.8368298
16616,2004,6.07E+13,166162004,70224,16,799,148,577,10,4,37,0,2,21,257,244,13,1500,-116.9962232,32.83130622
16616,1002,6.07E+13,166161002,70224,16,35,13,22,0,0,0,0,0,0,10,9,1,1501,-116.9936625,32.83538266
8346,1033,6.07E+13,83461033,66000,14,3,0,0,0,0,3,0,0,0,1,1,0,1502,-117.1757723,32.90759539
8346,1024,6.07E+13,83461024,66000,14,92,2,73,0,0,15,0,0,2,32,32,0,1503,-117.1980161,32.91177386
8345,3008,6.07E+13,83453008,66000,14,49,1,48,0,0,0,0,0,0,18,18,0,1504,-117.198075,32.85185915
8345,1002,6.07E+13,83451002,66000,14,106,10,79,0,0,14,0,0,3,38,36,2,1506,-117.1866261,32.8489779
8344,1002,6.07E+13,83441002,66000,14,103,18,81,0,0,4,0,0,0,34,34,0,1507,-117.1879328,32.85779684
8344,1005,6.07E+13,83441005,66000,14,72,12,57,1,0,2,0,0,0,27,27,0,1508,-117.1873316,32.85824839
8344,1007,6.07E+13,83441007,66000,14,66,4,41,0,0,17,0,0,4,22,20,2,1509,-117.1874858,32.85940656
8344,1008,6.07E+13,83441008,66000,14,81,9,58,1,0,13,0,0,0,32,32,0,1510,-117.2023214,32.85803233
8364,1008,6.07E+13,83641008,66000,14,63,11,43,0,0,5,0,0,4,35,28,7,1511,-117.224785,32.85726883
9706,3000,6.07E+13,97063000,66000,14,141,11,119,4,0,1,0,0,6,53,53,0,1512,-117.0425148,32.80104986
9705,1004,6.07E+13,97051004,66000,14,100,6,88,0,3,3,0,0,0,38,38,0,1513,-117.0710679,32.79012162
9705,1000,6.07E+13,97051000,66000,14,100,6,89,1,0,2,0,0,2,35,34,1,1514,-117.0674397,32.79120915
9704,5006,6.07E+13,97045006,66000,14,73,0,73,0,0,0,0,0,0,32,32,0,1515,-117.049954,32.80449887
9704,5008,6.07E+13,97045008,66000,14,40,4,32,0,0,4,0,0,0,15,14,1,1516,-117.0536066,32.80335812
9704,1002,6.07E+13,97041002,66000,14,400,43,307,21,0,21,0,0,8,152,147,5,1517,-117.0701823,32.80417436
9703,3014,6.07E+13,97033014,66000,14,33,4,24,1,0,0,0,0,4,15,15,0,1518,-117.0768743,32.79475106
7800,2005,6.07E+13,78002005,66000,14,64,10,46,5,0,0,0,0,3,18,18,0,1519,-117.2215401,32.80818739
7800,5002,6.07E+13,78005002,66000,14,31,1,30,0,0,0,0,0,0,8,8,0,1520,-117.2304142,32.80823105
7800,5007,6.07E+13,78005007,66000,14,36,14,20,0,0,2,0,0,0,12,12,0,1521,-117.2271615,32.80564037
7800,5006,6.07E+13,78005006,66000,14,147,16,98,12,0,10,0,0,11,43,42,1,1522,-117.2264664,32.80632786
7800,1002,6.07E+13,78001002,66000,14,104,50,47,0,0,2,0,0,5,62,57,5,1523,-117.2144743,32.80285653
17601,2014,6.07E+13,176012014,22678,6,34,0,34,0,0,0,0,0,0,18,16,2,1526,-117.2870779,33.06913547
17502,2001,6.07E+13,175022001,22678,6,189,62,112,1,0,3,0,1,10,79,71,8,1527,-117.2760104,33.04163789
17502,2004,6.07E+13,175022004,22678,6,201,70,122,3,0,1,4,0,1,33,31,2,1528,-117.2830463,33.04070104
9106,3001,6.07E+13,91063001,66000,14,27,14,11,0,0,2,0,0,0,14,12,2,1529,-117.1992601,32.76920459
17701,2008,6.07E+13,177012008,22678,6,27,3,20,0,0,1,0,0,3,11,11,0,1530,-117.30864,33.0795376
17604,2012,6.07E+13,176042012,22678,6,75,8,55,1,0,6,0,0,5,29,28,1,1531,-117.2642468,33.05334382
17604,2006,6.07E+13,176042006,22678,6,27,1,26,0,0,0,0,0,0,18,16,2,1532,-117.264277,33.0550584
